,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,param_colsample_bylevel,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0,295.365686416626,4.640109245567997,3.111682653427124,0.28525088948841903,0.61,0.11710000000000001,5,0.292,30.045,0.18999999999999995,0.0,"{'subsample': np.float64(0.61), 'min_child_weight': np.float64(0.11710000000000001), 'max_depth': 5, 'learning_rate': np.float64(0.292), 'gamma': np.float64(30.045), 'colsample_bytree': np.float64(0.18999999999999995), 'colsample_bylevel': np.float64(0.0)}",0.6000897038169184,0.6034059648096135,0.5993652325336052,0.6009536337200457,0.0017591021364571188,107,0.6083547734736188,0.6065581864343816,0.6067182193495491,0.6072103930858498,0.0008118322845747964,-5358.423542136712,-5334.027435343681,-5364.386353890339,-5352.2791104569105,13.133456369934665,107,-5302.253601040612,-5315.461841513709,-5312.769044023009,-5310.161495525776,5.698765127806467
1,287.32226753234863,0.2122348664702841,3.0424954891204834,0.40998367548219955,0.8200000000000001,0.3871,5,0.248,34.43,0.4099999999999998,1.0,"{'subsample': np.float64(0.8200000000000001), 'min_child_weight': np.float64(0.3871), 'max_depth': 5, 'learning_rate': np.float64(0.248), 'gamma': np.float64(34.43), 'colsample_bytree': np.float64(0.4099999999999998), 'colsample_bylevel': np.float64(1.0)}",0.8083448196126224,0.8084910480400427,0.8079934454809237,0.8082764377111963,0.00020882072062328053,24,0.8172126803912583,0.8141079537455488,0.816004979735098,0.8157752046239684,0.0012778704518105121,-3709.5055629703083,-3706.60831696113,-3713.673843047287,-3709.929240992909,2.900004829727721,24,-3622.322463535844,-3653.685420327697,-3633.892348989346,-3636.6334109509626,12.94974466131745
2,335.50186681747437,19.371694072647735,3.3787875970204673,0.5157817717185995,0.81,0.48009999999999997,6,0.0855,27.495,0.33999999999999986,1.0,"{'subsample': np.float64(0.81), 'min_child_weight': np.float64(0.48009999999999997), 'max_depth': 6, 'learning_rate': np.float64(0.0855), 'gamma': np.float64(27.495), 'colsample_bytree': np.float64(0.33999999999999986), 'colsample_bylevel': np.float64(1.0)}",0.7766886133507193,0.7792128982248742,0.7770313899270925,0.7776443005008953,0.0011179588722552228,59,0.7840930068737637,0.7826541487890802,0.7839800557279663,0.7835757371302701,0.0006532907945149709,-4004.157756564776,-3979.8710910456957,-4001.912555899574,-3995.3138011700153,10.958047377599517,59,-3936.8369798385265,-3950.721587525321,-3937.4581224493804,-3941.672229937742,6.403884711467489
3,256.66125233968097,2.6024780408906563,2.805320898691813,0.38531487361370725,0.61,0.4961,4,0.2145,13.015,0.7499999999999997,0.0,"{'subsample': np.float64(0.61), 'min_child_weight': np.float64(0.4961), 'max_depth': 4, 'learning_rate': np.float64(0.2145), 'gamma': np.float64(13.015), 'colsample_bytree': np.float64(0.7499999999999997), 'colsample_bylevel': np.float64(0.0)}",0.5199092872829323,0.5218106528133357,0.5193293864218615,0.5203497755060432,0.0010597776912759762,137,0.5237831030671352,0.5229184499174379,0.5239540030183722,0.5235518520009818,0.00045328456691981364,-5871.071883180989,-5857.092793223493,-5875.83399343331,-5867.999556612597,7.953512399489415,137,-5846.776292534911,-5853.249800323718,-5845.120674392871,-5848.3822557505,3.5076117694011546
4,237.70358578364053,13.0438936786455,2.743010679880778,0.4781204227905574,0.18000000000000002,0.2301,4,0.23850000000000002,38.955,0.23999999999999994,0.0,"{'subsample': np.float64(0.18000000000000002), 'min_child_weight': np.float64(0.2301), 'max_depth': 4, 'learning_rate': np.float64(0.23850000000000002), 'gamma': np.float64(38.955), 'colsample_bytree': np.float64(0.23999999999999994), 'colsample_bylevel': np.float64(0.0)}",0.532098819717933,0.5345784395500158,0.5310133272160059,0.532563528827985,0.0014920840919669621,131,0.5374202679849425,0.5336567974764387,0.5352835356587028,0.5354535337066947,0.0015411255776942635,-5796.059241636787,-5778.370771036574,-5803.981003127141,-5792.8036719335005,10.705763167655345,131,-5762.452745445318,-5787.001215286608,-5775.14712499586,-5774.867028575929,10.02382772499365
5,235.37175408999124,14.670190190236303,2.4821976820627847,0.4739216493354175,0.67,0.4501,4,0.033,24.215,0.16999999999999998,0.0,"{'subsample': np.float64(0.67), 'min_child_weight': np.float64(0.4501), 'max_depth': 4, 'learning_rate': np.float64(0.033), 'gamma': np.float64(24.215), 'colsample_bytree': np.float64(0.16999999999999998), 'colsample_bylevel': np.float64(0.0)}",0.19971267221215505,0.19991567025838608,0.1992097808248009,0.199612707765114,0.00029672056564605077,191,0.20033545950240728,0.20018055498212284,0.20071612043713882,0.20041071164055632,0.0002250255576204934,-7580.165982194019,-7576.175707937935,-7584.118524823398,-7580.153404985118,3.2426536107162214,191,-7576.488985236931,-7578.7350990333525,-7573.899706949014,-7576.374597073099,1.9756969472971555
6,308.4434072971344,15.483443036638628,4.095035791397095,0.6607435468180396,0.54,0.2331,6,0.11900000000000001,28.865000000000002,0.8699999999999996,0.0,"{'subsample': np.float64(0.54), 'min_child_weight': np.float64(0.2331), 'max_depth': 6, 'learning_rate': np.float64(0.11900000000000001), 'gamma': np.float64(28.865000000000002), 'colsample_bytree': np.float64(0.8699999999999996), 'colsample_bylevel': np.float64(0.0)}",0.4741664087418457,0.4748265441873897,0.47313287262861525,0.4740419418526169,0.0006970173800492442,155,0.4807672761703333,0.47862539798432147,0.48064917933713136,0.4800139511639287,0.000983038373259538,-6144.406055773476,-6138.094065584892,-6151.716073965543,-6144.738731774637,5.566134689467702,155,-6105.132650606335,-6118.932802288633,-6105.193512517738,-6109.752988470901,6.49115615481137
7,324.129168510437,15.86127131923375,3.3154887358347573,0.39775310129389324,0.37,0.0441,6,0.1605,16.145,0.7499999999999997,1.0,"{'subsample': np.float64(0.37), 'min_child_weight': np.float64(0.0441), 'max_depth': 6, 'learning_rate': np.float64(0.1605), 'gamma': np.float64(16.145), 'colsample_bytree': np.float64(0.7499999999999997), 'colsample_bylevel': np.float64(1.0)}",0.8233162459711627,0.8263019663893489,0.8242769033940942,0.8246317052515352,0.0012444663842858573,11,0.8340933698262943,0.833967047481477,0.8349588095555405,0.8343397422877706,0.0004407739747444861,-3561.6730858566993,-3530.039841636097,-3552.7132478053,-3548.142058432699,13.31258462734167,11,-3451.007856678834,-3453.0104574650454,-3441.638067369271,-3448.55212717105,4.956865251626025
8,228.6033629576365,3.744539596219832,2.8413970470428467,0.5374748627378892,0.08,0.2791,4,0.027,3.22,0.5599999999999997,0.0,"{'subsample': np.float64(0.08), 'min_child_weight': np.float64(0.2791), 'max_depth': 4, 'learning_rate': np.float64(0.027), 'gamma': np.float64(3.22), 'colsample_bytree': np.float64(0.5599999999999997), 'colsample_bylevel': np.float64(0.0)}",0.1517016206599452,0.1524609079951027,0.15172243682406095,0.15196165515970295,0.0003531273362524673,195,0.15169012116876024,0.15267584952850954,0.15282968707046218,0.15239855258924398,0.0005048582675530333,-7804.230071138255,-7797.619255105437,-7805.751507296003,-7802.5336111799,3.5300485091540326,195,-7803.534220041386,-7800.5556695588475,-7797.482113791756,-7800.524001130663,2.4708635037452553
9,278.68295470873517,18.768604966953163,3.348158597946167,0.5029841381874501,0.47000000000000003,0.07110000000000001,5,0.126,7.57,0.11,0.0,"{'subsample': np.float64(0.47000000000000003), 'min_child_weight': np.float64(0.07110000000000001), 'max_depth': 5, 'learning_rate': np.float64(0.126), 'gamma': np.float64(7.57), 'colsample_bytree': np.float64(0.11), 'colsample_bylevel': np.float64(0.0)}",0.4960770608050067,0.49694513648657634,0.4946669672478573,0.49589638817981346,0.0009387920317024736,149,0.5000753544631301,0.4981139007588937,0.4996329971663618,0.49927408412946184,0.0008400155095822944,-6015.030164663651,-6007.4453975926945,-6024.688202452357,-6015.721254902902,7.056287227061481,149,-5990.545216965583,-6003.483643673562,-5992.573286402464,-5995.53404901387,5.681860484633688
