learning_rate,max_depth,n_estimators,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_r2,test_r2,mean_train_r2,train_r2,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
0.01,1,50,0.02611120541890462,0.02645383552055615,0.0019292036692301433,0.00030660940323288914,-51.313819289310594,62.55609392088769,0.4141050003198532,0.0392668626460227,-3753.971643670919,986.6827440890983,-2237.9358108898646,301.3872037547963
0.01,2,50,0.026308059692382812,0.025131252771268334,0.0018027623494466145,0.00013329700148078971,-60.01187015864008,68.54862106656515,0.44450817193581904,0.018228902726776526,-4160.985748093333,1094.586655608346,-2182.265137466646,300.64861548191993
0.01,3,50,0.43544308344523114,0.08138812578255876,0.011306126912434896,0.013274009449011038,-60.01187015864008,68.54862106656515,0.44450817193581904,0.018228902726776526,-4160.985748093333,1094.586655608346,-2182.265137466646,300.64861548191993
0.015448591479026755,1,50,0.02466861406962077,0.024437190310841784,0.0017835299173990886,0.000207756070464704,-48.06816182714363,59.431764111971624,0.5556126413560479,0.045649110894344515,-3584.080675149186,995.6970209184618,-1946.3318064189316,267.2042555517488
0.023865897868585808,1,50,0.02473624547322591,0.024204830896609877,0.0017832120259602864,0.00013337416511977597,-44.57932904792461,55.80994829030467,0.7029202952623584,0.044801287111754316,-3422.2981542963084,982.9379224219504,-1586.8584738549253,226.74287939386812
0.036869450645195756,1,50,0.02884991963704427,0.029919714558616164,0.0017654101053873699,0.00011413492470137988,-41.96784868125683,53.616695597950645,0.8305288807946646,0.03243588553421882,-3293.3987739317013,978.19895536127,-1192.615906447903,166.9739212965185
0.056958108107376865,1,50,0.02406922976175944,0.02326203077631772,0.0018087228139241536,0.0001749632143184882,-44.08911256333145,57.81941314660325,0.923804067303949,0.017216770219531646,-3319.2726136990136,1076.8959295206243,-794.4763916391572,99.64986892317678
0.0879922543569107,1,50,0.02589702606201172,0.01592149640571438,0.001869519551595052,0.00014644831975573795,-47.21562313726983,63.319307948145074,0.9763125149408468,0.006015078300446256,-3362.6125549528665,1230.8893416493452,-441.01111974277654,53.96190381289808
0.13593563908785256,1,50,0.02348160743713379,0.022822279624568634,0.0018429756164550781,8.788110119327444e-05,-50.68261714615904,68.6703911641604,0.9961563686511012,0.0011508964324637868,-3444.3387476672856,1354.4870672101235,-176.5498012755071,24.74835847149785
0.21000141557086555,1,50,0.025135040283203125,0.02354957634734002,0.0017956097920735676,0.00015082386868551161,-52.51091107908607,71.23128176499509,0.9997914646431316,7.625568949611783e-05,-3507.208203549155,1392.865390858714,-40.68622061605655,7.205976708952921
0.324422607917163,1,50,0.02521403630574544,0.024900311558759228,0.0024201075236002603,0.0008417446486624554,-52.11898331686874,70.68631235065608,0.9999981433639412,8.23665842252336e-07,-3494.800681168003,1385.0612881413858,-3.7764871084187015,0.870153001439795
0.5011872336272722,1,50,0.02628151575724284,0.026826138427781983,0.001736005147298177,0.00012069512616068099,-50.18040450803726,67.91857765862568,0.999999999085568,5.722124820979101e-10,-3467.7738708433267,1337.7274228160534,-0.07877839526171615,0.0348280305708301
0.01,1,72,0.02628779411315918,0.024899694321232877,0.0017774899800618489,0.00012468559745310996,-48.720045032090674,60.19414817325503,0.5312658741182711,0.04493126173827381,-3610.262767939084,1000.1934800822623,-1999.5377531318275,273.1351127682167
0.015448591479026755,1,72,0.027135451634724934,0.023956870575324446,0.0018010139465332031,0.00011899658936789212,-44.95965404701726,56.30680762248697,0.6789635402901418,0.04571837536367447,-3434.9305213589428,988.2539025658771,-1650.6216648904685,234.32270881209033
0.023865897868585808,1,72,0.025964736938476562,0.024394553521504162,0.0017547607421875,0.0001288031227784881,-41.87790780039805,53.33893185762444,0.811198819791381,0.0351892566958975,-3290.5352010389674,975.7758998955545,-1259.9038347259168,178.4745080894745
0.036869450645195756,1,72,0.025574525197347004,0.02396618041819142,0.001763741175333659,0.00012301572095059707,-43.5205860220415,56.86371588393447,0.910453963908993,0.019741704231844046,-3308.0650137392126,1055.4900297472163,-862.168674671932,110.29517692094888
0.056958108107376865,1,72,0.02739087740580241,0.025168992516892898,0.0018546581268310547,0.00012028652478812797,-46.824909291638704,62.805826575405774,0.9697012380768504,0.007496018314455286,-3341.799636528296,1227.553770215259,-499.17521134762757,59.97318058398527
0.0879922543569107,1,72,0.030318419138590496,0.02258883766399583,0.0018630027770996094,0.00019288608250969883,-50.10956186320259,67.7861631680113,0.9941950017397194,0.0016837033600233412,-3431.8417076452956,1333.3423652235726,-217.25745688832436,29.49100567774071
0.13593563908785256,1,72,0.025108178456624348,0.02304149842698823,0.0017668406168619792,0.0001205072210546088,-52.289860859495235,70.9161426148015,0.9995728885970802,0.0001501674429967843,-3499.9966986809927,1387.570269106588,-58.36519377325444,9.758033055150182
0.21000141557086555,1,72,0.025033950805664062,0.022679789049148434,0.0017857551574707031,0.00011168224580008973,-53.027844659764874,71.9456781550491,0.9999934922941692,2.836552108434698e-06,-3524.574766000195,1402.6382487912824,-7.081307714546084,1.566474291192775
0.324422607917163,1,72,0.0254820982615153,0.023019306222479895,0.002180020014444987,0.0006932046963005948,-52.15510666317271,70.73631126579396,0.9999999925290565,3.813834383985848e-09,-3496.0024912988824,1385.7543190156694,-0.23504708881973135,0.06660281451652861
0.5011872336272722,1,72,0.02616540590922038,0.02127631462642959,0.0018830299377441406,9.142432877381985e-05,-50.180278234138235,67.91866212459074,0.9999999999998147,8.23507881741904e-14,-3467.75508354555,1337.7554832369703,-0.0011926143358734467,0.0002724918091157807
0.01,1,94,0.0272830327351888,0.02303705578032964,0.0017248789469401042,0.00011692372741576356,-46.50295348478835,57.98623909898777,0.6217594139439995,0.04657369712159987,-3500.7234503331115,998.8625293629499,-1793.8055789433322,250.45186644856625
0.015448591479026755,1,94,0.03320908546447754,0.03163448973496216,0.0017913182576497395,8.078845205515969e-05,-42.67055019639428,53.82258128868502,0.7631686269705454,0.04064652136362651,-3341.81012310211,966.6990124093429,-1414.0087338082715,203.2729100467678
0.023865897868585808,1,94,0.027005990346272785,0.021985586912129495,0.0018091201782226562,9.219269633412417e-05,-42.30736844729209,54.70555983192918,0.8758053345779709,0.025616049238969846,-3288.134084457024,1006.1841410599145,-1018.0620571187845,136.13571293120253
0.036869450645195756,1,94,0.027843316396077473,0.02194809318029728,0.0018222332000732422,5.680869882688314e-05,-45.36725589657721,60.33500192774991,0.9511617692794846,0.011490832465360977,-3318.9123168089304,1159.4754571763808,-634.8113500876934,75.47328826679976
0.056958108107376865,1,94,0.04211068153381348,0.02398348340486216,0.002869764963785807,0.0011073760019917318,-48.91883686878052,66.0767521942936,0.9877030953979563,0.0033326575522965047,-3391.472162616477,1304.4374381251864,-317.02762456601744,40.47909107066865
0.0879922543569107,1,94,0.026365041732788086,0.021865654453434732,0.0018120606740315754,0.00020687501325612748,-51.58405690533968,69.94699567116993,0.9985696832402273,0.00046414960908182997,-3475.1017077653482,1374.9499097688795,-107.28745639920653,16.337156952546607
0.13593563908785256,1,94,0.03145019213358561,0.028710592206181003,0.0017219384511311848,0.00011336117464186767,-52.85973649667972,71.71978279828473,0.9999522926709125,1.8958063328394795e-05,-3518.159235822793,1400.205291466016,-19.3373718533055,3.769416730115664
0.21000141557086555,1,94,0.02595822016398112,0.02151066003592125,0.0018856525421142578,0.00018407643686591777,-53.11957071608688,72.07355107167396,0.9999997950660089,1.012325321981652e-07,-3527.383847715863,1404.4976542336217,-1.2371732524758086,0.3292062353770328
0.324422607917163,1,94,0.027526140213012695,0.023550887445385256,0.0017403761545817058,0.00012250421029877037,-52.15862179436277,70.74108415742882,0.9999999999701487,1.70009370208788e-11,-3496.1038048615806,1385.8111678790563,-0.014531493560637909,0.0049765145488126356
0.5011872336272722,1,94,0.03135474522908529,0.018094586222217587,0.0028961499532063804,0.0014561551081879068,-50.18029025935073,67.91867695861777,0.9999999999999166,2.698892573643508e-14,-3467.7554808073523,1337.7555056590713,-0.0008169976589785891,3.4326747835955084e-05
0.01,1,116,0.03427879015604655,0.030879596214788172,0.0017180442810058594,0.00012259491683440778,-44.733260163798384,56.05862950116945,0.6921949225245897,0.04523209052654126,-3424.902510310005,987.010388793711,-1615.7030555949834,230.08594248669073
0.015448591479026755,1,116,0.03126152356465658,0.026267695851950254,0.0017545223236083984,0.0001132942409802176,-41.88041275366453,53.49707185659935,0.8214617481720586,0.033719754037652296,-3285.7820046008583,980.6105623554937,-1224.6194681155591,172.28787625571948
0.023865897868585808,1,116,0.028647899627685547,0.022358522281898743,0.0018086433410644531,0.00010397237145161701,-43.74732856326434,57.457068311833744,0.917198161170639,0.018481012829354337,-3297.6981084412637,1080.7473820719688,-828.6083545392581,104.73919282807577
0.036869450645195756,1,116,0.029287974039713543,0.02365183013432442,0.0017359256744384766,9.80456125790519e-05,-47.04717122798072,63.17626347776964,0.9727720303249359,0.006815209444501246,-3346.7018583349395,1237.524265010771,-473.0231954910623,57.14287614943597
0.056958108107376865,1,116,0.036728223164876304,0.020962804823099358,0.0018999576568603516,3.544667728432808e-05,-50.39883790905091,68.22212630634331,0.994998399514358,0.0014716270467279558,-3438.1762652067446,1342.8766070075953,-201.53747991554715,27.656680335517088
0.0879922543569107,1,116,0.028282880783081055,0.021672955041793424,0.0017521381378173828,0.00012035880579241526,-52.36775635333151,71.03645685424263,0.9996468734829594,0.00012584438404847573,-3501.7595581281234,1390.5066662522502,-53.02404489730056,8.996359805889254
0.13593563908785256,1,116,0.02957320213317871,0.024033147876279012,0.0017044544219970703,7.70548290664621e-05,-53.0606737500537,71.99376375864465,0.9999946517612951,2.3502297046202527e-06,-3525.0846757727045,1403.5693039694338,-6.414378239817688,1.4391056925155146
0.21000141557086555,1,116,0.028506040573120117,0.021460396707596353,0.0018279552459716797,0.00015992751484112508,-53.13716124787614,72.09756121638793,0.9999999935212941,3.4781096802160446e-09,-3527.929692783235,1404.7940715267223,-0.2168988704719141,0.06685848297734681
0.324422607917163,1,116,0.030109087626139324,0.021176962102542562,0.0017552375793457031,0.00010420173941502178,-52.15876714112684,70.74129790044661,0.9999999999995027,1.7379098502546698e-13,-3496.10693162471,1385.8154124615442,-0.0019890682716131075,9.221226900924731e-05
0.5011872336272722,1,116,0.042909463246663414,0.023415843909762722,0.0018267631530761719,8.665479517675471e-05,-50.18029025935073,67.91867695861777,0.9999999999999166,2.698892573643508e-14,-3467.7554808073523,1337.7555056590713,-0.0008169976589785891,3.4326747835955084e-05
0.01,1,138,0.03685204188028971,0.027837132822351108,0.0017986297607421875,0.00010717544972090818,-43.07893518290273,54.34017397823979,0.7472952496412858,0.04198754754014069,-3353.7400732063693,974.5311975009704,-1461.492399631096,210.06392750766778
0.015448591479026755,1,138,0.029071251551310223,0.020634056865795815,0.0017639795939127605,0.00011267362605782496,-41.98877596575042,54.12334913133275,0.8638031935378229,0.027482341799015955,-3283.780872307565,993.0981183931095,-1067.0036062898716,144.5279436053142
0.023865897868585808,1,138,0.031029224395751953,0.02398690845376266,0.001744985580444336,9.95156978610294e-05,-45.047742849747344,59.828876867474094,0.9440162215092206,0.013013217954499697,-3308.630285581672,1149.357368440547,-680.0156912853512,81.67575262440816
0.036869450645195756,1,138,0.03838992118835449,0.030377239936922897,0.0018096764882405598,0.00010882101178118187,-48.43306102856116,65.34209575996684,0.9847590348931878,0.004049438582727915,-3379.354333581741,1288.574318751886,-353.19081331361343,44.37675827550339
0.056958108107376865,1,138,0.03435993194580078,0.020312984526021694,0.0019382635752360027,0.0001514543376760747,-51.360614142660786,69.63084932172636,0.9979631169216808,0.0006445116023677933,-3466.759791121716,1369.916441286966,-128.1872864818869,18.920888294782824
